Assessment_id,Assessment_link,Assessment_boundry,link_confirmation,Assessment_factors,Assessment_authors,Adaptation_plan,Organization_id
159,https://www.parkcity.org/home/showpublisheddocument/70275/637594587444370000,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction,Adaptation plan,14344
160,https://www.hsy.fi/globalassets/ilmanlaatu-ja-ilmasto/tiedostot/pks_ilmastonmuutokseen_sopeutumisen_uudet_haasteet.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: In the publication, the climate change risk and vulnerability assessment of Vantaa is dealt as part of the greater Helsinki Metropolitan Area.",The assessment can be accessed (unrestricted) on the link provided,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,"Other, please specify: Helsinki Region Environmental Services HSY",Adaptation goal(s) and adaptation plan,60185
161,http://catalogador.mma.gob.cl:8080/geonetwork/srv/spa/resources.get?uuid=6cb999b1-71e5-4e58-9101-0c3d4d9f736f&fname=Informe_Riesgos_Climaticos_RM.pdf&access=public,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; Assessment considers transition risks; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,31180
162,New Taipei City 2050 Net Zero Roadmap and Climate Action White Paper.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,"A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,56276
163,Hong Kong Climate Change Report 2015  Coastal hazard assessments under climate change and extreme weathers (details can be found in our input for 4.1a and 8.1.) (https://www.eeb.gov.hk/sites/default/files/pdf/ClimateChangeEng.pdf),Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,Assessment considers nature; Assessment considers water security,Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,31169
164,RISK ASSESMENT.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,Assessment considers nature; Assessment includes consultation with partners; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Relevant department within jurisdiction,Adaptation plan,838939
165,http://www.newbedford-ma.gov/emergency-management/plans-documents/emergency-plan/,Same - covers entire jurisdiction and nothing else,The assessment has been attached and can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,58668
166,CDRA_Compilation_PPC.City_reduced.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,A process has been established for prioritizing identified hazards; Assessment considers nature; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Community group; Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,59985
167,https://klimaservicesenter.no/faces/desktop/article.xhtml?uri=klimaservicesenteret/klimaprofiler/klimaprofil-oslo-og-akershus,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers Oslo and Akershus county (county boarders have since been changed)",The assessment can be accessed (unrestricted) on the link provided,"Other, please specify: Covers probable climate hazards of the area.","Other, please specify: NCCS is a collaboration between the Norwegian Meteorological Institute, the Norwegian Water Resources and Energy Directorate, NORCE – Norwegian Research Centre, and the Bjerknes Centre, the Norwegian Environment Agency is represented on the Board.",Adaptation goal(s) and adaptation plan,14088
168,https://southeastfloridaclimatecompact.org/wp-content/uploads/2020/04/Sea-Level-Rise-Projection-Guidance-Report_FINAL_02212020.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Four Southeast Florida counties - Miami-Dade, Broward, Palm Beach, Monroe",The assessment can be accessed (unrestricted) on the link provided,"A process has been established to update the assessment at least every five years; Assessment includes a high-emissions scenario (i.e., RCP 8.5)","Other, please specify: Interjurisdictional team and academia",Adaptation goal(s) and adaptation plan,35870
169,20200218 Laporan Akhir RAD API Kota Semarang.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,Assessment considers water security; Assessment includes sectors and/or urban systems,Consultant; Dedicated team within jurisdiction; International organization; National/ central government; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,54327
170,Lapkir RPPLH KOTA BLITAR_300622.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,A process has been established for prioritizing identified hazards,International organization; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,840514
171,finalreport_ccvapart2_mar2017_final2_web.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,Assessment considers vulnerable populations,Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,55800
172,GPP_KSAS.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: National guidelines",The assessment has been attached,Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,National/ central government,Adaptation goal(s) and adaptation plan,54360
173,http://www.seattle.gov/light/enviro/docs/Seattle_City_Light_Climate_Change_Vulnerability_Assessment_and_Adaptation_Plan.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Includes hydroelectric projects, transmission & distribution, and fish habitat projects outside of the City of Seattle",The assessment can be accessed (unrestricted) on the link provided,Assessment considers nature; Assessment considers vulnerable populations; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,16581
174,https://www.wexfordcoco.ie/sites/default/files/content/Wexford-County-Council-Climate-Strategy.pdf,"Smaller - covers only part of the jurisdiction, please explain exclusions: Southeast region is composed of 4 counties which produced the assessment individually",The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers transition risks; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,862814
175,https://www.salem.com/sites/g/files/vyhlif7986/f/uploads/salem_climate_change_plan_appendix_d.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached and can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations; Other, please specify: GIS Maps of Climate Change",Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,58871
176,1.1a.Climate risk and vulnerability assessment in Yeosu City.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework",Community group; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,44210
177,"1. Informe de resultados inventario de GEI Zarcero 2019.pdf, Informe_Plan de adaptación_Zarcero2023.pdf, Plan de Acción Climática de Zarcero, 2020.pdf",Same - covers entire jurisdiction and nothing else,The assessment has been attached,Assessment considers vulnerable populations; Assessment considers water security,Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,845307
178,https://www.resilienteast.com/resources and  https://static1.squarespace.com/static/5c4d88b5aa49a11b1eae4b9f/t/5c4efde8cd836601cd1c0c73/1548680699083/IVA+Report.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: This was done as a collaborative partnership of 8 local municipalities and State Government, named Resilient East, https://www.resilienteast.com/",The assessment can be accessed (unrestricted) on the link provided,"Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant,Adaptation goal(s) and adaptation plan,32480
179,https://www.marc.org/sites/default/files/2022-05/Climate-Risk-and-Vulnerability-Assessment.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Regional/ state/ provincial government,Adaptation goal(s),848567
180,https://munibelen-my.sharepoint.com/:b:/g/personal/ambiental_belen_go_cr/EbcXWwpI6hxJmbdql4OZ1eEB4AeYzCsjVZGVhfAlNZRPXA?e=RLAIAd,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant,Adaptation goal(s) and adaptation plan,58595
181,https://www.vitoria-gasteiz.org/wb021/was/contenidoAction.do?idioma=es&uid=u_39f815d1_127fa8ec204__7fb5,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,46470
182,SECAP INDEPENDENCIA VF (Agosto 2020).pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,"A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,59166
183,https://www.naga.org.au/exploring-vulnerabilities.html,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The assessment covers 9 Councils in the north of the Greater Melbourne Region, including Merri-bek City Council (formerly Moreland City Council).",The assessment can be accessed (unrestricted) on the link provided,Assessment considers vulnerable populations; Assessment includes sectors and/or urban systems,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,54263
184,https://www.guilfordcountync.gov/home/showpublisheddocument/12036/637604798816670000,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Covers entirety of Guilford County, NC and 10 municipalities therein:  Gibsonville, Greensboro, High Point, Jamestown, Oak Ridge, Pleasant Garden, Sedalia, Stokesdale, Summerfield, and Whitsett",The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,"Dedicated team within jurisdiction; Other, please specify: Inter-jurisdictional collaboration",Adaptation goal(s) and adaptation plan,50541
185,https://middelfart.viewer.dkplan.niras.dk/plan/32#/,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,59180
186,https://bouldercolorado.gov/sites/default/files/2021-02/cfs-master-plan-2004.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,Assessment considers nature; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Community group; Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,54104
187,Durham Community Climate Adaptation Plan.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The boundary covers the local municipalities of Pickering, Ajax, Whitby, Oshawa, Scugog, Brock, Clarington, & Uxbridge which constitute the Region of Durham.",The assessment has been attached,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant; Dedicated team within jurisdiction; Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,840269
188,https://www.amsterdam.nl/wonen-leefomgeving/groene-stad/samen-slag-klimaatbestendig-amsterdam/,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,,,Incomplete report,31148
189,https://www.geoweb.dnv.org/Products/Reports/PublicSafety/BGCLandslideRiskAssessment_Final.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Question not applicable,Adaptation goal(s) and adaptation plan,862953
190,https://www.pmf.sc.gov.br/arquivos/arquivos/pdf/27_08_2015_9.27.58.f256adc2f8bf21d6481e39eb1b350a0d.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Estudo realizado no Núcleo Metropolitano da Região Metropolitana de Florianópolis - nove municípios: Águas Mornas, Antônio Carlos, Biguaçu, Florianópolis, Governador Celso Ramos, Palhoça, Santo Amaro da Imperatriz, São José e São Pedro de Alcântara.",The assessment can be accessed (unrestricted) on the link provided,"Other, please specify:  Estudo de emissões de gases de efeito estufa (GEE) e medidas de mitigação",National/ central government; Regional/ state/ provincial government,Adaptation goal(s),50384
191,https://www.klimaoslo.no/wp-content/uploads/sites/88/2021/03/Climate-Change-Vulnerability-Analysis-for-Oslo-short-version.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"Assessment considers nature; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,14088
192,https://www.slocounty.ca.gov/Departments/Planning-Building/Forms-Documents/Plans-and-Elements/Elements/Local-Hazard-Mitigation-Plan/San-Luis-Obispo-County-Multi-Jurisdictional-Hazard.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The San Luis Obispo County Multi-Jurisdictional Hazard Mitigation Plan covers San Luis Obispo County, which includes the City of San Luis Obispo. The Plan also has a city-specific annex for the City of San Luis Obispo.",The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction; Regional/ state/ provincial government; Relevant department within jurisdiction,Adaptation goal(s),73669
193,https://drive.google.com/file/d/1J_HmVB56MAVDqCVnt4-fbPvbrg1izUHX/view?usp=sharing,Same - covers entire jurisdiction and nothing else,The assessment has been attached,Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant,Adaptation goal(s) and adaptation plan,59653
194,FINAL_ColumbusFinalReport_3.0.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction; Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,43910
195,http://firma.providencia.cl/dsign/cgi/sdoc.exe/sdoc/document?id=g%2BlSq31Km%2BOGiGVdpYsebg%3D%3D,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Community group; Relevant department within jurisdiction,Incomplete report,59167
196,https://denhaag.raadsinformatie.nl/document/7390498/1/RIS301829_bijlage,Same - covers entire jurisdiction and nothing else,The assessment has been attached,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,43930
197,"ÁREA DE RISCO OUTEIRO, VILA OPERÁRIA E VILA ESPERANÇA.pdf","Smaller - covers only part of the jurisdiction, please explain exclusions: Bairro da Vila Operária que apresenta risco de movimento de massa na rua da Bica",The assessment has been attached,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction; Regional/ state/ provincial government; Relevant department within jurisdiction,Adaptation goal(s),930245
198,https://cambioclimatico.mma.gob.cl/wp-content/uploads/2020/07/Plan-Nacional-Adaptacion-Cambio-Climatico-version-final.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Plan Nacional de Adaptación al Cambio Climático",The assessment can be accessed (unrestricted) on the link provided,"A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",National/ central government,Adaptation goal(s) and adaptation plan,31180
199,ilmastonmuutos-paakaupunkiseudulla.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The report deals with climate change in the Helsinki Metropolitan area",The assessment has been attached,"Assessment includes a high-emissions scenario (i.e., RCP 8.5)","Other, please specify: Finnish Meteorological Institute",Adaptation goal(s) and adaptation plan,60185
200,https://www.city.kyoto.lg.jp/kankyo/cmsfiles/contents/0000000/328/keikaku2021-2030.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework; Other, please specify: 生物多様性、農林業、食品、産業、商業、公衆衛生、地域社会及び文化、危機管理、観光、健康",Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,49389
201,"FINAL_FINAL_GHG_Emissions_Inventory_Report.pdf, Plan Ferndale Adopted 09.26.22 HIGH RES.pdf",Same - covers entire jurisdiction and nothing else,The assessment has been attached,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Relevant department within jurisdiction,Adaptation plan,852443
202,https://www.como.gov/wp-content/uploads/2020/11/CoMoCAAP_VAfactsheets_Health_final.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant,Adaptation goal(s) and adaptation plan,54100
203,"Makati DRRM Health Plan 2020-.pdf, Makati DRRM Plan 2019-2030.pdf, Makati DRRM Plan 2019-2030-pages-39-62.pdf",Same - covers entire jurisdiction and nothing else,The assessment has been attached,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework",Community group; Consultant; Dedicated team within jurisdiction; International organization; National/ central government; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,54354
204,"""Atlas de Riesgos Climáticos"" disponible en:  ""https://arclim.mma.gob.cl/""","Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Análisis de riesgos climáticos de todas las localidades del país",The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,"International organization; National/ central government; Other, please specify: Academia",Adaptation goal(s) and adaptation plan,60410
205,,Same - covers entire jurisdiction and nothing else,Unable to provide an attachment and/or direct link to the assessment as it is not yet published,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s),68250
206,https://ottawa.ca/en/living-ottawa/environment-conservation-and-climate/climate-change-and-energy/climate-resiliency,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,43911
207,https://www.resilienteast.com/resources  and  https://static1.squarespace.com/static/5c4d88b5aa49a11b1eae4b9f/t/5c4efde8cd836601cd1c0c73/1548680699083/IVA+Report.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Undertaken as part of the Resilient East project - a partnership between the Cities of Unley, Adelaide, Tea Tree Gully, Campbelltown, Burnside, Norwood Payneham and St Peters, Prospect and The Town of Walkerville.",The assessment can be accessed (unrestricted) on the link provided,"Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant,Adaptation goal(s) and adaptation plan,840075
208,https://www.cnv.org/-/media/City-of-North-Vancouver/Documents/Living-City/Climate-Change-Adaptation/City-of-North-Vancouver-Climate-Change-Adaptation-Plan.PDF,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,59669
209,Informe-Ambiental-Anteproyecto-PRC-Renca-1.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework",Question not applicable,Adaptation goal(s) and adaptation plan,863190
210,https://www.charlottenc.gov/files/sharedassets/city/public-safety/em/documents/2020-mecklenburg-county-mjhmp-final.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Mecklenburg County",The assessment can be accessed (unrestricted) on the link provided,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,43914
211,Kisii County PCRA report final_1_Published.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework",Community group; Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,74771
212,Task 3.2_Vulnerability Assessment_REV_LATEST_20230608.docx,Same - covers entire jurisdiction and nothing else,The assessment has been attached,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction; Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,43909
213,https://drive.google.com/file/d/1dq4LE1_VeJy5BiwKowH_SF3tUSLxB1PM/view?usp=sharing,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework",Question not applicable,Adaptation goal(s),900978
214,https://www.aarhus.dk/media/55658/klimatilpasningsstrategi-aarhus-med-mere-blaat-2020.pdf,Same - covers entire jurisdiction and nothing else,The assessment can be accessed (unrestricted) on the link provided,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,54408
215,"ANALISIS KERENTANAN BAHAYA.pdf, Laporan akhir KLHS Tambrauw_pdf.pdf",Same - covers entire jurisdiction and nothing else,The assessment has been attached,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems,Question not applicable,Adaptation goal(s) and adaptation plan,924776
216,PLADECO FINAL Versión compendiada.pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework",Question not applicable,Adaptation goal(s) and adaptation plan,863190
217,Heritage & Museum Climate Risk Report Nov 2019.docx,"Partial - covers part of the jurisdiction and adjoining areas, please explain exclusions/additions: Includes heritage and museum assets within DCSDC responsibility",The assessment has been attached,A process has been established for prioritizing identified hazards,Dedicated team within jurisdiction,Adaptation goal(s),60168
218,https://repositorio.gestiondelriesgo.gov.co/bitstream/handle/20.500.11762/28461/PMGRD_MonguaBoyaca_2015.pdf?sequence=2&isAllowed=y,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions",The assessment has been attached,A process has been established for prioritizing identified hazards,Consultant,Incomplete report,848259
219,PLAN LOCAL DE ACCION  CLIMATICA LA MOLINA,Same - covers entire jurisdiction and nothing else,Unable to provide an attachment and/or direct link to the assessment as it is not yet published,A process has been established for prioritizing identified hazards,Dedicated team within jurisdiction,Adaptation goal(s),839672
220,Analisis de Riesgos Uruapan_compressed (1).pdf,Same - covers entire jurisdiction and nothing else,The assessment has been attached,Assessment considers nature; Assessment considers vulnerable populations,Relevant department within jurisdiction,Incomplete report,849023
